Date,Mkt-RF,SMB,HML,RF
"July 10, 2015",-0.0002,0.0012,-0.0133,0
"July 17, 2015",0.0227,-0.0144,-0.0171,0
"July 24, 2015",-0.0233,-0.0144,-0.0042,0
"July 31, 2015",0.0119,0.0004,-0.0081,0
"August 7, 2015",-0.0136,-0.0121,0.0089,1.00E-05
"August 14, 2015",0.0069,-0.0031,0.0126,1.00E-05
"August 21, 2015",-0.0569,0.0123,0.0002,1.00E-05
"August 28, 2015",0.0107,0.0002,-0.0076,1.00E-05
"September 4, 2015",-0.0308,0.0145,0.0013,0
"September 11, 2015",0.0209,-0.0043,-0.0152,0
"September 18, 2015",-0.0015,0.0118,-0.0178,0
"September 25, 2015",-0.0177,-0.0271,0.0369,0
"October 2, 2015",0.0073,-0.0155,0.0059,0
"October 9, 2015",0.0344,0.0152,0.0202,0
"October 16, 2015",0.0062,-0.0124,0.0008,0
"October 23, 2015",0.017,-0.0153,0.0025,0
"October 30, 2015",0.0017,-0.0044,-0.0146,0
"November 6, 2015",0.0138,0.0261,0.0051,1.00E-05
"November 13, 2015",-0.0372,-0.0089,-0.0006,1.00E-05
"November 20, 2015",0.0314,-0.0051,-0.0086,1.00E-05
"November 27, 2015",0.0038,0.0243,-0.0092,1.00E-05
"December 4, 2015",-0.0019,-0.0151,0.002,3.00E-05
"December 11, 2015",-0.0393,-0.0086,-0.0163,3.00E-05
"December 18, 2015",-0.0035,0.0016,-0.0076,3.00E-05
"December 24, 2015",0.0283,0.0022,0.0098,3.00E-05
"December 31, 2015",-0.009,-0.0078,-0.0057,3.00E-05
